"","ubicgeo","cod_delito","total_procesados","anio","sistema","concepto"
"285","01001",7010,1,"2019","control","- Narcomenudeo"
"286","01001",1010,1,"2019","control","- Homicidio"
"287","01001",3040,1,"2019","control","- Violación"
"288","01001",1010,1,"2019","control","- Homicidio"
"289","01001",7010,1,"2019","control","- Narcomenudeo"
"290","01001",7010,1,"2019","control","- Narcomenudeo"
"291","01001",7010,1,"2019","control","- Narcomenudeo"
"292","01001",7010,1,"2019","control","- Narcomenudeo"
"293","01001",7010,1,"2019","control","- Narcomenudeo"
"294","01001",7010,1,"2019","control","- Narcomenudeo"
"295","01001",5010,1,"2019","control","- Violencia familiar"
"296","01001",1010,1,"2019","control","- Homicidio"
"297","01001",5010,1,"2019","control","- Violencia familiar"
"298","01001",1010,1,"2019","control","- Homicidio"
"299","01001",1010,1,"2019","control","- Homicidio"
"300","01001",1010,1,"2019","control","- Homicidio"
"301","01001",1010,1,"2019","control","- Homicidio"
"302","01001",1010,1,"2019","control","- Homicidio"
"303","01001",7010,1,"2019","control","- Narcomenudeo"
"304","01001",3040,1,"2019","control","- Violación"
"305","01001",7010,1,"2019","control","- Narcomenudeo"
"306","01001",7010,1,"2019","control","- Narcomenudeo"
"307","01001",1010,1,"2019","control","- Homicidio"
"308","01001",7010,1,"2019","control","- Narcomenudeo"
"309","01001",7010,1,"2019","control","- Narcomenudeo"
"310","01001",1010,1,"2019","control","- Homicidio"
"311","01001",7010,1,"2019","control","- Narcomenudeo"
"312","01001",1010,1,"2019","control","- Homicidio"
"313","01001",7010,1,"2019","control","- Narcomenudeo"
"314","01001",1010,3,"2019","control","- Homicidio"
"315","01001",7010,1,"2019","control","- Narcomenudeo"
"316","01001",7010,1,"2019","control","- Narcomenudeo"
"317","01001",7010,1,"2019","control","- Narcomenudeo"
"318","01001",3040,1,"2019","control","- Violación"
"319","01001",7010,1,"2019","control","- Narcomenudeo"
"320","01001",1010,1,"2019","control","- Homicidio"
"321","01001",1010,1,"2019","control","- Homicidio"
"322","01001",3040,1,"2019","control","- Violación"
"323","01001",3040,1,"2019","control","- Violación"
"324","01001",7010,1,"2019","control","- Narcomenudeo"
"325","01001",7010,1,"2019","control","- Narcomenudeo"
"326","01001",7010,1,"2019","control","- Narcomenudeo"
"327","01001",1010,1,"2019","control","- Homicidio"
"328","01001",7010,1,"2019","control","- Narcomenudeo"
"329","01001",7010,1,"2019","control","- Narcomenudeo"
"330","01001",7010,1,"2019","control","- Narcomenudeo"
"331","01001",7010,1,"2019","control","- Narcomenudeo"
"332","01001",7010,1,"2019","control","- Narcomenudeo"
"333","01001",5010,1,"2019","control","- Violencia familiar"
"334","01001",3040,1,"2019","control","- Violación"
"335","01001",7010,1,"2019","control","- Narcomenudeo"
"336","01001",7010,1,"2019","control","- Narcomenudeo"
"337","01001",3040,1,"2019","control","- Violación"
"338","01001",7010,1,"2019","control","- Narcomenudeo"
"339","01001",1010,2,"2019","control","- Homicidio"
"340","01001",7010,1,"2019","control","- Narcomenudeo"
"341","01001",7010,1,"2019","control","- Narcomenudeo"
"342","01001",7010,1,"2019","control","- Narcomenudeo"
"343","01001",5010,1,"2019","control","- Violencia familiar"
"344","01001",7010,1,"2019","control","- Narcomenudeo"
"345","01001",7010,1,"2019","control","- Narcomenudeo"
"346","01001",7010,1,"2019","control","- Narcomenudeo"
"347","01001",7010,1,"2019","control","- Narcomenudeo"
"348","01001",7010,1,"2019","control","- Narcomenudeo"
"349","01001",7010,1,"2019","control","- Narcomenudeo"
"350","01001",7010,1,"2019","control","- Narcomenudeo"
"351","01001",7010,1,"2019","control","- Narcomenudeo"
"352","01001",7010,1,"2019","control","- Narcomenudeo"
"353","01001",7010,1,"2019","control","- Narcomenudeo"
"354","01001",7010,1,"2019","control","- Narcomenudeo"
"355","01001",1010,1,"2019","control","- Homicidio"
"356","01001",5010,1,"2019","control","- Violencia familiar"
"357","01001",7010,1,"2019","control","- Narcomenudeo"
"358","01001",5010,1,"2019","control","- Violencia familiar"
"359","01001",7010,1,"2019","control","- Narcomenudeo"
"360","01001",7010,1,"2019","control","- Narcomenudeo"
"361","01001",7010,1,"2019","control","- Narcomenudeo"
"362","01001",1010,1,"2019","control","- Homicidio"
"363","01001",7010,1,"2019","control","- Narcomenudeo"
"364","01001",7010,1,"2019","control","- Narcomenudeo"
"365","01001",7010,1,"2019","control","- Narcomenudeo"
"366","01001",7010,1,"2019","control","- Narcomenudeo"
"367","01001",7010,1,"2019","control","- Narcomenudeo"
"368","01001",1010,1,"2019","control","- Homicidio"
"369","01001",1010,1,"2019","control","- Homicidio"
"370","01001",7010,1,"2019","control","- Narcomenudeo"
"371","01001",5010,1,"2019","control","- Violencia familiar"
"372","01001",7010,1,"2019","control","- Narcomenudeo"
"373","01001",7010,1,"2019","control","- Narcomenudeo"
"374","01001",7010,1,"2019","control","- Narcomenudeo"
"375","01001",1010,2,"2019","control","- Homicidio"
"376","01001",3040,1,"2019","control","- Violación"
"377","01001",7010,1,"2019","control","- Narcomenudeo"
"378","01001",5010,1,"2019","control","- Violencia familiar"
"379","01001",7010,1,"2019","control","- Narcomenudeo"
"380","01001",7010,1,"2019","control","- Narcomenudeo"
"381","01001",7010,1,"2019","control","- Narcomenudeo"
"382","01001",7010,1,"2019","control","- Narcomenudeo"
"383","01001",7010,1,"2019","control","- Narcomenudeo"
"384","01001",7010,1,"2019","control","- Narcomenudeo"
"385","01001",7010,1,"2019","control","- Narcomenudeo"
"386","01001",7010,1,"2019","control","- Narcomenudeo"
"387","01001",1010,1,"2019","control","- Homicidio"
"388","01001",3040,1,"2019","control","- Violación"
"389","01001",7010,1,"2019","control","- Narcomenudeo"
"390","01001",3040,1,"2019","control","- Violación"
"391","01001",3040,1,"2019","control","- Violación"
"392","01001",7010,2,"2019","control","- Narcomenudeo"
"393","01001",7010,1,"2019","control","- Narcomenudeo"
"394","01001",3040,1,"2019","control","- Violación"
"395","01001",5010,1,"2019","control","- Violencia familiar"
"396","01001",7010,1,"2019","control","- Narcomenudeo"
"397","01001",5010,1,"2019","control","- Violencia familiar"
"398","01001",5010,1,"2019","control","- Violencia familiar"
"399","01001",3040,1,"2019","control","- Violación"
"400","01001",3040,1,"2019","control","- Violación"
"401","01001",5010,1,"2019","control","- Violencia familiar"
"402","01001",1010,1,"2019","control","- Homicidio"
"403","01001",3040,1,"2019","control","- Violación"
"404","01001",5010,1,"2019","control","- Violencia familiar"
"405","01001",1010,1,"2019","control","- Homicidio"
"406","01001",5010,1,"2019","control","- Violencia familiar"
"407","01001",1010,1,"2019","control","- Homicidio"
"408","01001",1010,1,"2019","control","- Homicidio"
"409","01001",1010,1,"2019","control","- Homicidio"
"410","01001",3040,1,"2019","control","- Violación"
"411","01001",3040,1,"2019","control","- Violación"
