"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
291,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-28,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,NA,1,"ORALIDAD AGUASCALIENTES",2020-08-31,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-02,"VIOLACIÓN",2021-11-18,NA,2021-11-18,NA,NA,NA,NA,"Si",2021-11-26,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2020,442,442,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-04,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-05,"VIOLACIÓN",NA,NA,2021-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-07,"VIOLENCIA FAMILIAR",NA,NA,2021-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-10,"VIOLACIÓN",2021-08-12,NA,NA,2021-08-12,2022-02-08,2022-02-22,"Condenatoria","Si",2022-03-10,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,336,NA,NA,0,180,14,NA,NA,NA,NA,NA,16,NA,NA,530
297,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-10,"VIOLACIÓN EQUIPARADA",2021-08-12,NA,NA,2021-08-12,2022-02-08,2022-02-22,"Condenatoria","Si",2022-03-10,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,336,NA,NA,0,180,14,NA,NA,NA,NA,NA,16,NA,NA,530
298,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-15,"VIOLACIÓN",NA,NA,2022-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,NA,1,"ORALIDAD AGUASCALIENTES",2020-09-15,"VIOLACIÓN EQUIPARADA",NA,NA,2022-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
