"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
396,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-16,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-17,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-17,"VIOLENCIA FAMILIAR",2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-17,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-17,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-17,"VIOLENCIA FAMILIAR",NA,NA,2021-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-17,"VIOLACIÓN",NA,NA,2022-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-19,"VIOLENCIA FAMILIAR",NA,NA,2021-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-19,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-19,"VIOLACIÓN",NA,NA,2022-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-22,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-24,"VIOLACIÓN",NA,NA,2021-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-24,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-24,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-24,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-25,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-26,"VIOLACIÓN EQUIPARADA",2022-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-28,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-28,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-29,"VIOLENCIA FAMILIAR",2022-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,NA,1,"ORALIDAD AGUASCALIENTES",2021-03-31,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-05,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-05,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-05,"VIOLACIÓN",2021-11-19,NA,NA,2021-11-19,2022-04-11,2022-05-16,"Condenatoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,228,NA,NA,0,143,35,NA,NA,NA,NA,NA,NA,NA,NA,406
418,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-05,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,"Si",2022-05-19,"Negar suspensión condicional del proceso",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-07,"VIOLACIÓN",2022-07-05,NA,NA,2022-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,454,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-07,"VIOLACIÓN EQUIPARADA",2022-07-05,NA,NA,2022-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,454,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-12,"VIOLACIÓN EQUIPARADA",2022-01-25,NA,2022-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,288,288,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-12,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,"SI",2021-07-23,"Vinculación a proceso",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-12,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-12,"VIOLACIÓN EQUIPARADA",2021-09-20,NA,NA,2021-09-20,2022-05-19,2022-06-01,"Condenatoria","Si",2022-06-21,"Sentencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,161,NA,NA,0,241,13,NA,NA,NA,NA,NA,20,NA,NA,415
423,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-14,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-14,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-15,"VIOLACIÓN EQUIPARADA",2022-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-15,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-15,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-15,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-15,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-16,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-16,"VIOLACIÓN",2022-08-19,NA,2022-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,490,490,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-19,"VIOLENCIA FAMILIAR",2022-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-22,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-22,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-23,"VIOLACIÓN EQUIPARADA",NA,NA,2021-08-19,NA,NA,NA,NA,"Si",2021-08-26,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,NA,1,"ORALIDAD AGUASCALIENTES",2021-04-26,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-03,"VIOLENCIA FAMILIAR",2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-05,"VIOLACIÓN EQUIPARADA",NA,NA,2021-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-05,"VIOLENCIA FAMILIAR",NA,NA,2021-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-05,"VIOLACIÓN",2022-03-03,NA,NA,2022-03-03,NA,NA,NA,"SI",2022-03-08,"Excluir medios de prueba","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,302,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-06,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-07,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-12,"VIOLACIÓN",2022-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,"Dos imputados en la misma carpeta",1,"ORALIDAD AGUASCALIENTES",2021-05-13,"VIOLACIÓN",2022-06-20,NA,2022-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,403,403,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,"Dos imputados en la misma carpeta",1,"ORALIDAD AGUASCALIENTES",2021-05-13,"VIOLACIÓN",2022-06-20,NA,2022-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,403,403,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-14,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-16,"VIOLENCIA FAMILIAR",NA,NA,2022-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-17,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-17,"VIOLENCIA FAMILIAR",NA,NA,2022-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-18,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-18,"VIOLACIÓN",2022-07-04,NA,NA,2022-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,412,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-18,"VIOLENCIA FAMILIAR",2022-07-04,NA,NA,2022-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,412,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-19,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-19,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-20,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-21,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-23,"VIOLACIÓN",NA,NA,2022-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,"Dos imputados en la misma carpeta",1,"ORALIDAD AGUASCALIENTES",2021-05-24,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,"Dos imputados en la misma carpeta",1,"ORALIDAD AGUASCALIENTES",2021-05-24,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,"Dos imputados en la misma carpeta",1,"ORALIDAD AGUASCALIENTES",2021-05-24,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,"Si",2021-08-24,"Conceder la SCP","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,"Dos imputados en la misma carpeta",1,"ORALIDAD AGUASCALIENTES",2021-05-24,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,"SI",2021-08-24,"Conceder la SCP","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-25,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-25,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-26,"VIOLACIÓN EQUIPARADA",2022-07-20,NA,NA,2022-07-20,NA,NA,NA,"Si",2022-08-05,"Excluir medios de prueba",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,420,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,NA,1,"ORALIDAD AGUASCALIENTES",2021-05-31,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,"Imputado uno",1,"ORALIDAD AGUASCALIENTES",2021-06-02,"VIOLACIÓN",NA,NA,2022-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,"Imputado dos",1,"ORALIDAD AGUASCALIENTES",2021-06-02,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-02,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-04,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,"SI",2022-02-03,"Conceder la SCP","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-04,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-07,"VIOLACIÓN",2022-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-07,"VIOLACIÓN EQUIPARADA",2022-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,NA,1,"ORALIDAD AGUASCALIENTES",2021-06-08,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
