ubicageo,cod_expe,cod_deli,delirie6,califica,gdo_cons,form_com,form_acc,modalida,elemcomi,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"15058",8108,9271,4010,1,1,1,1,3,1,1,1,15,"15070","09/10/2016","2","1"
"15058",8109,9272,4010,1,1,1,1,3,1,1,1,15,"15058","06/09/2016","1","1"
"15058",8110,9273,4010,1,1,1,1,3,1,1,1,15,"15070","09/09/2016","1","1"
"15058",8111,9274,4010,1,1,2,1,3,2,1,1,15,"15070","03/11/2016","1","1"
"15058",8112,9275,4010,1,1,9,1,3,6,1,1,15,"15058","09/05/2016","1","1"
"15058",8113,9276,4010,1,1,1,1,3,1,1,1,15,"15058","02/12/2016","1","2"
"15058",8114,9277,3040,1,1,9,1,3,3,1,1,15,"15999","13/08/2016","1","1"
"15058",8115,9278,4200,1,1,2,1,3,2,1,1,15,"15058","28/07/2016","2","1"
"15058",8116,9279,4010,1,1,2,1,3,2,1,1,15,"15099","14/04/2016","2","4"
"15058",8116,9280,3010,1,1,9,1,3,3,1,1,15,"15099","26/04/2016","2","4"
"15058",8117,9281,3040,1,1,9,1,3,3,1,1,15,"15999","11/09/2016","1","1"
"15058",8118,9282,4200,1,1,9,1,3,6,1,3,15,"15058","27/09/2016","1","1"
"15058",8119,9283,4010,1,1,1,1,3,1,1,1,15,"15058","14/09/2016","3","1"
"15058",8120,9284,4010,1,1,1,1,3,1,1,1,15,"15058","29/07/2015","1","1"
"15058",8121,9285,4010,1,1,1,1,3,1,1,1,15,"15058","03/10/2016","1","1"
"15058",8122,9286,4010,1,1,1,1,3,1,1,1,15,"15058","04/10/2016","1","1"
"15058",8123,9287,4010,1,1,1,1,3,1,1,2,15,"15058","18/09/2016","1","1"
"15058",8124,9288,4010,1,1,1,1,3,1,1,1,15,"15058","27/09/2016","1","1"
"15058",8125,9289,8080,1,1,2,1,3,2,1,1,99,"99999","11/05/2015","1","1"
"15058",8126,9290,1010,1,1,9,1,3,3,1,1,15,"15999","07/05/2016","1","1"
"15058",8127,9291,1040,9,1,9,1,1,6,1,1,15,"15070","26/06/2015","1","1"
"15058",8128,9292,4010,1,1,1,1,3,1,1,1,15,"15058","26/03/2013","2","1"
"15058",8129,9293,3010,1,1,9,2,3,5,2,1,15,"15999","14/07/2016","1","1"
"15058",8130,9294,1010,1,1,9,1,4,6,1,1,15,"15058","08/12/2015","2","1"
"15058",8131,9295,4010,1,1,9,1,3,6,1,1,15,"15058","02/09/2016","1","1"
"15058",8132,9296,4200,1,1,9,1,5,4,1,1,15,"15070","30/09/2016","1","1"
"15058",8133,9297,1010,1,1,1,1,4,1,1,1,15,"15999","13/06/2015","3","1"
"15058",8134,9298,4200,1,1,9,1,3,4,1,3,15,"15058","21/11/2016","1","1"
"15058",8135,9299,4010,1,1,1,1,3,1,1,1,15,"15070","16/11/2016","1","1"
"15058",8136,9300,2060,1,1,1,1,3,1,1,2,15,"15070","15/11/2016","2","1"
"15058",8137,9301,3040,1,1,9,1,3,3,1,1,15,"15999","02/11/2016","1","1"
"15058",8138,9302,4010,1,1,2,1,3,2,1,1,15,"15058","25/10/2016","1","1"
"15058",8139,9303,4010,1,1,2,1,3,2,1,1,15,"15058","06/12/2016","1","1"
"15058",8140,9304,2060,1,1,9,2,3,5,2,2,15,"15070","15/09/2016","1","1"
"15058",8141,9305,4200,1,1,9,1,3,4,1,3,15,"15999","07/11/2016","1","1"
"15058",8142,9306,4200,1,1,9,1,3,5,1,1,15,"15999","10/12/2016","1","1"
"15058",8143,9307,4010,1,1,1,1,3,1,1,1,15,"15999","13/05/2016","2","1"
"15058",8144,9308,4010,1,1,9,1,3,6,1,1,15,"15058","04/08/2016","1","1"
"15058",8145,9309,4010,1,1,1,1,3,1,1,1,15,"15999","10/12/2016","1","1"
