ubicgeob,cod_expe,cod_deli,delirie8,califdel,gdoconsu,formcomi,formacci,tipmodal,ele_comi,ticoncur,ticlasif,entiocur,munocurr,fec_ocur,totalca1,totalca2
"15025",5315,6712,40100,1,1,1,1,4,1,1,1,15,"15039","15/11/2016","1","1"
"15025",5316,6713,40500,1,1,1,1,3,1,1,1,15,"15039","20/10/2015","1","2"
"15025",5317,6714,30400,1,1,3,1,3,3,1,1,15,"15039","23/10/2016","1","1"
"15025",5318,6715,40100,2,1,2,1,3,2,1,1,15,"15039","20/02/2017","2","1"
"15025",5319,6716,40100,1,1,1,1,3,1,1,1,15,"15122","15/08/2016","3","1"
"15025",5320,6717,40100,1,1,2,1,3,2,1,1,15,"15122","30/06/2016","1","1"
"15025",5321,6718,20600,1,1,1,3,3,1,3,1,15,"15025","28/05/2016","1","1"
"15025",5322,6719,40100,1,1,2,1,3,2,1,1,15,"15025","10/02/2017","2","1"
"15025",5323,6720,20600,1,1,1,1,3,1,1,2,15,"15039","10/11/2016","1","1"
"15025",5324,6721,40100,1,1,2,1,3,2,1,1,15,"15122","18/12/2016","4","1"
"15025",5325,6722,40100,1,1,2,1,3,2,1,1,15,"15025","31/01/2017","1","1"
"15025",5326,6723,40100,1,1,2,1,3,2,1,1,15,"15039","06/02/2017","1","1"
"15025",5327,6724,40100,1,1,1,1,3,1,1,1,15,"15039","08/03/2017","1","2"
"15025",5328,6725,40500,1,1,3,1,3,4,1,1,15,"15025","31/10/2013","1","1"
"15025",5329,6726,40100,1,1,1,1,3,1,1,1,15,"15014","30/11/2016","1","1"
"15025",5330,6727,40500,1,1,3,1,3,3,1,1,15,"15009","26/10/2016","8","1"
